,Date,Rocket,Launch Site,Launch Latitude,Launch Longitude,Flight Number,Flight,Orbit,Payload (Kg),Land Site,Failed Launch,Successful Launch,gridfins_False,gridfins_True,legs_False,legs_True,reused_False,reused_True,landing_attempt_False,landing_attempt_True,Failed Landing,Successful Landing,Landing ASDS,Landing Ocean,Landing RTLS,Year
86,2020-07-20,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,98,2,GEO,7341.2,Port Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2020
87,2020-08-18,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,100,6,VLEO,15600.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2020
88,2020-08-30,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,101,4,SSO,1600.0,Cape Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,2020
89,2020-09-03,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,102,2,VLEO,15600.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2020
90,2020-10-06,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,103,3,VLEO,15600.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2020
91,2020-10-18,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,104,6,VLEO,15600.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2020
92,2020-10-24,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,105,3,VLEO,15600.0,Port Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2020
93,2020-11-05,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,106,1,MEO,3681.0,Port of Los Angeles,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,2020
94,2020-11-16,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,107,1,ISS,7341.2,Port Canaveral,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,2020
95,2020-11-21,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,108,1,PO,1440.0,Vandenberg Air Force Base,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,2020
96,2020-11-25,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,109,7,VLEO,15600.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2020
97,2020-12-06,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,110,4,ISS,2972.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2020
98,2020-12-13,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,111,7,GTO,7000.0,Port Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2020
99,2020-12-19,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,112,5,LEO,7341.2,Cape Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,2020
